vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,associated-interface,comment
CP03OTPC,Host_10.245.79.24,b74e0054-4cd7-51e9-97d7-b826bb4d135c,,,,10.245.79.24 255.255.255.255,,,I.CCI,
CP03OTPC,Host_10.249.79.24,b74e96e0-4cd7-51e9-3037-a2a4a4ac1e16,,,,10.249.79.24 255.255.255.255,,,I.CCI,
CP03OTPC,Host_10.245.127.67,b74eea3c-4cd7-51e9-fb24-5607a9eeb4d2,,,,10.245.127.67 255.255.255.255,,,I.CCI,
CP03OTPC,Host_10.249.127.51,b74f3bae-4cd7-51e9-aedb-9d6f9a713c48,,,,10.249.127.51 255.255.255.255,,,I.CCI,
CP03OTPC,Host_10.245.79.99,b74f93f6-4cd7-51e9-d19d-7580c27255b7,,,,10.245.79.99 255.255.255.255,,,I.CCI,
CP03OTPC,Host_10.245.127.83,b74fea18-4cd7-51e9-29ac-401bcfd925f9,,,,10.245.127.83 255.255.255.255,,,I.CCI,
CP03OTPC,Host_10.245.127.84,b75040d0-4cd7-51e9-d48f-8b22423f67f6,,,,10.245.127.84 255.255.255.255,,,I.CCI,
CP03OTPC,Host_10.245.79.19,b75099f4-4cd7-51e9-17ce-9441e6bea1e4,,,,10.245.79.19 255.255.255.255,,,I.CCI,
CP03OTPC,Host_10.245.79.20,b750f296-4cd7-51e9-66e6-fc7a02d69390,,,,10.245.79.20 255.255.255.255,,,I.CCI,
CP03OTPC,Host_10.249.79.19,b7514ade-4cd7-51e9-7ccc-a8abe604bea9,,,,10.249.79.19 255.255.255.255,,,I.CCI,
CP03OTPC,Host_10.249.239.19,b751a074-4cd7-51e9-0d5b-b880cc3c3dae,,,,10.249.239.19 255.255.255.255,,,I.CCI,
CP03CASH2,none,a6fc30f6-7d43-51e6-2413-0a78b2ceba81,,,,0.0.0.0 255.255.255.255,,,,
CP03CASH2,adobe,a6fc41ea-7d43-51e6-2c14-a9c0be3c38e0,wildcard-fqdn,,,,*.adobe.com,,,
CP03CASH2,Adobe Login,a6fc5216-7d43-51e6-036e-ae7217202fd7,wildcard-fqdn,,,,*.adobelogin.com,,,
CP03CASH2,android,a6fc621a-7d43-51e6-f2db-40fbfb9ea0cf,wildcard-fqdn,,,,*.android.com,,,
CP03CASH2,apple,a6fc7246-7d43-51e6-1689-175574990a9c,wildcard-fqdn,,,,*.apple.com,,,
