vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,comment,associated-interface
CT901CASH1,Host_10.164.141.95,2b3ce074-0a40-51e8-81ca-dc05d66160dd,,,,10.164.141.95 255.255.255.255,,,,E.NMC
CT901CASH1,Host_10.164.130.36,df39ee2c-0a41-51e8-37a4-27b141eb6801,,,,10.164.130.36 255.255.255.255,,,,E.NMC
CT901CASH1,Host_172.16.128.157,13fd5c06-0ae8-51e8-d413-f5a1f3bc927a,,,,172.16.128.157 255.255.255.255,,,,E.XSYS
CT901CASH1,HOST_10.164.129.26,b571e842-1c7f-51e8-15ed-f0c52bf41622,,,,10.164.129.26 255.255.255.255,,,,E.NMC
CT901CASH1,Host_10.18.117.31,b581f25a-1c7f-51e8-4534-c64d1a0f32c3,,,,10.18.117.31 255.255.255.255,,,,Dev.MiddleSky
CT901CASH1,Host_10.18.117.51,b58b700a-1c7f-51e8-7ab5-69172bfc53a2,,,,10.18.117.51 255.255.255.255,,,,Dev.MiddleSky
CT901CASH1,Range_10.70.13.1-2,b9f6faa6-1c7f-51e8-3372-1677b650af12,iprange,10.70.13.1,10.70.13.2,,,,,I.TOFAPP
CT901CASH1,Host_10.164.1.25,ba0b90ba-1c7f-51e8-0d37-446a9e32f2bd,,,,10.164.1.25 255.255.255.255,,,,E.NMC
CT901CASH1,Host_10.70.13.221,ba151644-1c7f-51e8-5fbd-8e39496382e6,,,,10.70.13.221 255.255.255.255,,,,I.TOFAPP
CT901CASH1,Net_10.1.96.0,ba1e9dcc-1c7f-51e8-f65a-5ec57608822c,,,,10.1.96.0 255.255.255.0,,,,I.CASH.Trust
CT901CASH1,Net_10.2.96.0,ba282252-1c7f-51e8-cbdf-077d27584207,,,,10.2.96.0 255.255.255.0,,,,I.CASH.Trust
CT901CASH1,Range_10.164.1.200-201,ba31b164-1c7f-51e8-65d0-d3dd9e79a16c,iprange,10.164.1.200,10.164.1.201,,,,,E.NMC
CT901CASH1,Range_10.164.129.200-201,bdfb591c-1c7f-51e8-1041-9859366039ae,iprange,10.164.129.200,10.164.129.201,,,,,E.NMC
CT901CASH1,Range_10.70.12.133-134,be0ff1ce-1c7f-51e8-a020-7e984e21fdb5,iprange,10.70.12.133,10.70.12.134,,,,,I.TOFAPP
CT901CASH1,Range_10.193.36.16-31,be1e375c-1c7f-51e8-36d4-eda6f1d1566b,iprange,10.193.36.16,10.193.36.31,,,,,E.MTC
CT901CASH1,Range_10.193.26.111-129,be2c803c-1c7f-51e8-79dd-ee3bfd2b2d88,iprange,10.193.26.111,10.193.26.129,,,,,E.MTC
CT901CASH1,Host_10.1.88.90,c486a39a-1c7f-51e8-cf1f-542d380c2691,,,,10.1.88.90 255.255.255.255,,,,I.CASH.Trust
CT901CASH1,Host_10.1.88.93,c4955caa-1c7f-51e8-5ee9-99d7549f3251,,,,10.1.88.93 255.255.255.255,,,,I.CASH.Trust
CT901CASH1,Host_10.164.130.51,52f01872-1e98-51e8-bb17-9e39e44e7490,,,,10.164.130.51 255.255.255.255,,,,E.NMC
CT901CASH1,Range_10.193.26.111-139,53008d6a-1e98-51e8-bceb-ab0bd1dbfaed,iprange,10.193.26.111,10.193.26.139,,,,,E.MTC
CT901CASH1,Range_10.164.1.23-24,638a13d6-1e98-51e8-d753-e0de9e779bb7,iprange,10.164.1.23,10.164.1.24,,,,,E.NMC
CT901CASH1,Range_192.168.150.225-226,639d8ab0-1e98-51e8-e2ba-d18b0bd198e1,iprange,192.168.150.225,192.168.150.226,,,,,E.UCN
CT901CASH1,Range_192.168.188.225-226,63abd21e-1e98-51e8-a3a1-f65364c7e1f2,iprange,192.168.188.225,192.168.188.226,,,,,E.UCN
CT901CASH1,Net_10.164.11.0,63ba1ea0-1e98-51e8-1e42-8beeadb1bbd0,,,,10.164.11.0 255.255.255.0,,,,E.NMC
CT901CASH1,Net_10.164.14.0,63c3a77c-1e98-51e8-6c5d-158dad533ca8,,,,10.164.14.0 255.255.255.0,,,,E.NMC
CT901CASH1,Net_10.163.212.0,2002ba06-242d-51e8-2654-9061c787cc7d,,,,10.163.212.0 255.255.255.0,,,,I.DEV.EMFTCore
CT901CASH1,Net_10.163.211.0,200f0996-242d-51e8-a670-1a5c58992696,,,,10.163.211.0 255.255.255.0,,,,I.DEV.EMFTProxy
CT901CASH1,Host_10.163.211.211,20188430-242d-51e8-463f-e65d803a3889,,,,10.163.211.211 255.255.255.255,,,,I.DEV.EMFTProxy
CT901CASH1,Host_10.163.212.133,20224a92-242d-51e8-d7c0-69c6651fe909,,,,10.163.212.133 255.255.255.255,,,,I.DEV.EMFTCore
CT901CASH1,Net_10.220.0.0,2db2293e-242d-51e8-1e32-74fdd3d57cf6,,,,10.220.0.0 255.255.0.0,,,,E.OCG
CT901CASH1,Net_10.221.0.0,2dbffa78-242d-51e8-8515-9cc02ff69a13,,,,10.221.0.0 255.255.0.0,,,,E.OCG
CT901CASH1,Net_10.222.0.0,2dc99402-242d-51e8-821a-270e26195394,,,,10.222.0.0 255.255.0.0,,,,E.OCG
CT901CASH1,Net_10.223.0.0,2dd26e56-242d-51e8-27c6-ff29db05bb62,,,,10.223.0.0 255.255.0.0,,,,E.OCG
CT901CASH1,RANGE_10.163.211.211-212,2ddb9e04-242d-51e8-20bf-d4d8c2809ca3,iprange,10.163.211.211,10.163.211.212,,,,,I.DEV.EMFTProxy
CT901CASH1,Host_10.163.211.248,ff134354-2433-51e8-a0cc-a645a5d41cf2,,,,10.163.211.248 255.255.255.255,,,,I.DEV.EMFTProxy
CT901CASH1,Net_10.187.0.0/16,96498c58-2446-51e8-2f6c-dd12e5ea56e5,,,,10.187.0.0 255.255.0.0,,,,E.OCG
CT901CASH1,Range_10.241.51.41-42,20a049ca-2cd8-51e8-b931-6156bb77c6e7,iprange,10.241.51.41,10.241.51.42,,,,,E.XSYS
CT901CASH1,Range_10.241.151.41-42,20ae7e8c-2cd8-51e8-9e36-051c340d41a8,iprange,10.241.151.41,10.241.151.42,,,,,E.XSYS
CT901CASH1,Host_10.18.117.1,79fd3b6a-2e75-51e8-c6bd-a9f6d4e27100,,,,10.18.117.1 255.255.255.255,,,,Dev.MiddleSky
CT901CASH1,Host_10.1.88.84,f215c162-2e75-51e8-2db4-5c96b3aab9a4,,,,10.1.88.84 255.255.255.255,,,,I.Dev.CASHMGT
CT901CASH1,HOST_10.63.116.21,991c9b5a-3c65-51e8-8a90-d599cfaf087d,,,,10.63.116.21 255.255.255.255,,,,E.Dev.CASHIAN
CT901CASH1,HOST_10.63.116.22,9c68e1ba-3c65-51e8-7445-a3d774e4f63a,,,,10.63.116.22 255.255.255.255,,,,E.Dev.CASHIAN
CT901CASH1,HOST_10.63.116.23,9f715108-3c65-51e8-26a7-ce56426a08ad,,,,10.63.116.23 255.255.255.255,,,,E.Dev.CASHIAN
CT901CASH1,HOST_10.63.116.24,a1f91b90-3c65-51e8-201f-e828e7d1695b,,,,10.63.116.24 255.255.255.255,,,,E.Dev.CASHIAN
CT901CASH1,HOST_10.63.116.26,a91888b6-3c65-51e8-1d29-0f252b3cab4c,,,,10.63.116.26 255.255.255.255,,,,E.Dev.CASHIAN
