vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,proxy
DTH1HSN,ALL_ICMP6,General,ICMP6,,,,,,
DTH1HSN,GRE,Tunneling,IP,,,47,,,
DTH1HSN,AH,Tunneling,IP,,,51,,,
DTH1HSN,ESP,Tunneling,IP,,,50,,,
DTH1HSN,AOL,,,5190-5194,,,disable,,
DTH1HSN,BGP,Network Services,,179,,,,,
DTH1HSN,DHCP,Network Services,,,67-68,,,,
DTH1HSN,DNS,Network Services,,53,53,,,,
DTH1HSN,FINGER,,,79,,,disable,,
DTH1HSN,FTP,File Access,,21,,,,,
DTH1HSN,FTP_GET,File Access,,21,,,,,
DTH1HSN,FTP_PUT,File Access,,21,,,,,
DTH1HSN,GOPHER,,,70,,,disable,,
DTH1HSN,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
DTH1HSN,HTTP,Web Access,,80,,,,,
DTH1HSN,HTTPS,Web Access,,443,,,,,
DTH1HSN,IKE,Tunneling,,,500 4500,,,,
DTH1HSN,IMAP,Email,,143,,,,,
DTH1HSN,IMAPS,Email,,993,,,,,
DTH1HSN,Internet-Locator-Service,,,389,,,disable,,
DTH1HSN,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
DTH1HSN,L2TP,Tunneling,,1701,1701,,,,
DTH1HSN,LDAP,Authentication,,389,,,,,
DTH1HSN,NetMeeting,,,1720,,,disable,,
DTH1HSN,NFS,File Access,,111 2049,111 2049,,,,
DTH1HSN,NNTP,,,119,,,disable,,
DTH1HSN,NTP,Network Services,,123,123,,,,
DTH1HSN,OSPF,Network Services,IP,,,89,,,
DTH1HSN,PC-Anywhere,Remote Access,,5631,5632,,,,
DTH1HSN,PING,Network Services,ICMP,,,,,8,
DTH1HSN,TIMESTAMP,,ICMP,,,,disable,13,
DTH1HSN,INFO_REQUEST,,ICMP,,,,disable,15,
DTH1HSN,INFO_ADDRESS,,ICMP,,,,disable,17,
DTH1HSN,ONC-RPC,Remote Access,,111,111,,,,
DTH1HSN,DCE-RPC,Remote Access,,135,135,,,,
DTH1HSN,POP3,Email,,110,,,,,
DTH1HSN,POP3S,Email,,995,,,,,
DTH1HSN,PPTP,Tunneling,,1723,,,,,
DTH1HSN,QUAKE,,,,26000 27000 27910 27960,,disable,,
DTH1HSN,RAUDIO,,,,7070,,disable,,
DTH1HSN,REXEC,,,512,,,disable,,
DTH1HSN,RIP,Network Services,,,520,,,,
DTH1HSN,RLOGIN,,,513:512-1023,,,disable,,
DTH1HSN,RSH,,,514:512-1023,,,disable,,
DTH1HSN,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
DTH1HSN,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
DTH1HSN,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
DTH1HSN,SAMBA,File Access,,139,,,,,
DTH1HSN,SMTP,Email,,25,,,,,
DTH1HSN,SMTPS,Email,,465,,,,,
DTH1HSN,SNMP,Network Services,,161-162,161-162,,,,
DTH1HSN,SSH,Remote Access,,22,,,,,
DTH1HSN,SYSLOG,Network Services,,,514,,,,
DTH1HSN,TALK,,,,517-518,,disable,,
DTH1HSN,TELNET,Remote Access,,23,,,,,
DTH1HSN,TFTP,File Access,,,69,,,,
DTH1HSN,MGCP,,,,2427 2727,,disable,,
DTH1HSN,UUCP,,,540,,,disable,,
DTH1HSN,VDOLIVE,,,7000-7010,,,disable,,
DTH1HSN,WAIS,,,210,,,disable,,
DTH1HSN,WINFRAME,,,1494 2598,,,disable,,
DTH1HSN,X-WINDOWS,Remote Access,,6000-6063,,,,,
DTH1HSN,PING6,,ICMP6,,,,disable,128,
