vdom,id,gateway,device,dst
DTH1COMM,28,10.164.201.3,I.COMM.3001,10.172.69.0 255.255.255.0
DTH1COMM,29,10.164.201.3,I.COMM.3001,10.172.70.0 255.255.255.0
DTH1DEV,1,10.164.205.222,D.SDN2.2928,10.170.53.0 255.255.255.0
DTH1DEV,2,10.164.205.6,I.DEV.2901,10.161.5.0 255.255.255.0
DTH1DEV,3,10.151.90.102,I.XDEV.3113,10.170.63.0 255.255.255.0
DTH1HKATS1,1,10.164.201.150,D.CCI.3803,10.164.201.0 255.255.255.0
DTH1HKATS1,2,10.151.90.22,I.HKATS.3103,10.151.52.0 255.255.255.0
DTH1HKATS1,3,10.151.90.22,I.HKATS.3103,10.170.3.0 255.255.255.0
DTH1HKATS1,4,10.164.201.158,D.SDN2.3804,10.164.201.104 255.255.255.252
DTH1HKATS1,5,10.164.201.166,D.OTPC.3805,10.1.1.0 255.255.255.0
DTH1HKATS1,6,10.151.90.22,I.HKATS.3103,10.151.54.0 255.255.255.0
DTH1HKATS1,7,10.151.90.22,I.HKATS.3103,10.151.5.0 255.255.255.0
DTH1HKATS1,8,10.151.90.22,I.HKATS.3103,10.170.54.0 255.255.255.0
DTH1HKATS1,9,10.151.90.22,I.HKATS.3103,10.170.2.0 255.255.255.0
DTH1HKATS1,10,10.151.90.22,I.HKATS.3103,10.170.53.0 255.255.255.0
DTH1HKATS1,11,10.151.90.22,I.HKATS.3103,10.151.34.0 255.255.255.0
DTH1HKATS1,12,10.151.90.22,I.HKATS.3103,10.151.25.0 255.255.255.0
DTH1HKATS1,13,10.151.90.22,I.HKATS.3103,10.151.12.0 255.255.255.0
DTH1HKATS1,15,10.151.90.38,I.PTRMW.3105,10.151.13.0 255.255.255.0
DTH1HKATS1,16,10.151.90.38,I.PTRMW.3105,10.151.19.0 255.255.255.0
DTH1HKATS1,17,10.151.90.46,I.SMARTS.3106,10.1.153.0 255.255.255.0
DTH1HKATS1,18,10.151.90.46,I.SMARTS.3106,10.1.150.0 255.255.255.0
DTH1HKATS1,19,10.151.90.46,I.SMARTS.3106,10.1.152.0 255.255.255.0
DTH1HKATS1,20,10.164.201.158,D.SDN2.3804,10.164.1.0 255.255.255.0
DTH1HKATS1,21,10.164.201.158,D.SDN2.3804,10.164.129.0 255.255.255.0
DTH1HKATS1,22,10.164.201.150,D.CCI.3803,10.244.0.0 255.254.0.0
DTH1HKATS1,23,10.164.201.150,D.CCI.3803,10.248.0.0 255.254.0.0
DTH1HKATS1,24,10.151.90.86,I.XHKATS.3111,10.152.54.0 255.255.255.0
DTH1HKATS1,25,10.151.90.86,I.XHKATS.3111,10.170.64.0 255.255.255.0
DTH1HKATS1,26,10.151.90.38,I.PTRMW.3105,10.151.58.0 255.255.255.0
DTH1HKATS1,27,10.151.90.86,I.XHKATS.3111,10.152.58.0 255.255.255.0
DTH1HKATS1,28,10.151.90.86,I.XHKATS.3111,10.2.153.0 255.255.255.0
DTH1HKATS1,29,10.151.90.86,I.XHKATS.3111,10.152.34.0 255.255.255.0
DTH1HKATS1,30,10.151.90.86,I.XHKATS.3111,10.152.52.0 255.255.255.0
DTH1MC1,1,10.164.201.134,M.OMC.3801,10.205.201.199 255.255.255.255
DTH1MC1,2,10.164.201.134,M.OMC.3801,10.0.8.0 255.255.255.0
DTH1MC1,3,10.164.201.134,M.OMC.3801,10.0.9.0 255.255.255.0
DTH1MC1,4,10.164.201.134,M.OMC.3801,10.0.10.0 255.255.255.0
DTH1MC1,5,10.164.201.134,M.OMC.3801,10.0.11.0 255.255.255.0
DTH1TBP,1,10.164.205.238,D.CCI.2930,10.164.201.0 255.255.255.0
DTH1TBP,2,10.164.205.38,I.HTBP.2905,10.151.52.0 255.255.255.0
DTH1TBP,3,10.164.205.38,I.HTBP.2905,10.170.3.0 255.255.255.0
DTH1TBP,4,10.164.205.246,D.SDN2.2931,10.164.201.104 255.255.255.252
DTH1TBP,5,10.164.205.254,D.OTPC.2932,10.1.1.0 255.255.255.0
DTH1TBP,6,10.164.205.38,I.HTBP.2905,10.151.54.0 255.255.255.0
DTH1TBP,7,10.164.205.38,I.HTBP.2905,10.151.5.0 255.255.255.0
DTH1TBP,8,10.164.205.38,I.HTBP.2905,10.170.54.0 255.255.255.0
DTH1TBP,9,10.164.205.38,I.HTBP.2905,10.170.2.0 255.255.255.0
DTH1TBP,10,10.164.205.38,I.HTBP.2905,10.170.53.0 255.255.255.0
DTH1TBP,11,10.164.205.38,I.HTBP.2905,10.151.34.0 255.255.255.0
DTH1TBP,12,10.164.205.38,I.HTBP.2905,10.151.25.0 255.255.255.0
DTH1TBP,13,10.164.205.38,I.HTBP.2905,10.151.12.0 255.255.255.0
DTH1TBP,15,10.164.205.54,I.PWTBP.2907,10.151.13.0 255.255.255.0
DTH1TBP,16,10.164.205.54,I.PWTBP.2907,10.151.19.0 255.255.255.0
DTH1TBP,17,10.164.205.62,I.SMARTTBP.2908,10.1.153.0 255.255.255.0
DTH1TBP,18,10.164.205.62,I.SMARTTBP.2908,10.1.150.0 255.255.255.0
DTH1TBP,19,10.164.205.62,I.SMARTTBP.2908,10.1.152.0 255.255.255.0
DTH1TBP,20,10.164.205.246,D.SDN2.2931,10.164.1.0 255.255.255.0
DTH1TBP,21,10.164.205.246,D.SDN2.2931,10.164.129.0 255.255.255.0
DTH1TBP,22,10.164.205.238,D.CCI.2930,10.244.0.0 255.254.0.0
DTH1TBP,23,10.164.205.238,D.CCI.2930,10.248.0.0 255.254.0.0
DTH1TBP,24,10.151.90.94,I.XHTBP.3112,10.152.54.0 255.255.255.0
DTH1TBP,25,10.151.90.94,I.XHTBP.3112,10.170.64.0 255.255.255.0
DTH1TBP,26,10.164.205.54,I.PWTBP.2907,10.151.58.0 255.255.255.0
DTH1TBP,28,10.151.90.94,I.XHTBP.3112,10.2.153.0 255.255.255.0
DTH1TBP,29,10.151.90.94,I.XHTBP.3112,10.152.34.0 255.255.255.0
DTH1TBP,30,10.151.90.94,I.XHTBP.3112,10.152.52.0 255.255.255.0
DTH1TBP,31,10.164.205.246,D.SDN2.2931,10.1.85.0 255.255.255.0
DTH1TBP,34,10.164.205.246,D.SDN2.2931,10.170.33.0 255.255.255.0
DTH1TBP,35,10.164.205.246,D.SDN2.2931,10.170.34.0 255.255.255.0
DTH1TBP,36,10.151.90.94,I.XHTBP.3112,10.170.63.0 255.255.255.0
DTH1TBP,37,10.164.205.246,D.SDN2.2931,10.161.5.0 255.255.255.0
DTH1TBP,38,10.164.205.246,D.SDN2.2931,10.162.5.0 255.255.255.0
DTH1TBP,39,10.151.90.94,I.XHTBP.3112,10.152.25.0 255.255.255.0
DTH1TBP,40,10.151.90.94,I.XHTBP.3112,10.152.5.0 255.255.255.0
DTH1TBP,41,10.164.205.246,D.SDN2.2931,10.63.142.0 255.255.255.0
DTH1TBP,42,10.164.205.246,D.SDN2.2931,10.163.143.0 255.255.255.0
DTH1TBP,43,10.164.205.238,D.CCI.2930,192.168.36.0 255.255.255.0
DTH1TBP,44,10.151.90.94,I.XHTBP.3112,10.152.58.0 255.255.255.0
DTH1TBP,45,10.164.205.246,D.SDN2.2931,192.168.80.0 255.255.255.0
DTH1TBP,46,10.164.205.54,I.PWTBP.2907,10.151.14.0 255.255.255.0
DTH1TBP,47,10.151.90.94,I.XHTBP.3112,10.152.12.0 255.255.255.0
DTH1TBP,48,10.151.90.94,I.XHTBP.3112,10.152.13.0 255.255.255.0
DTH1TBP,49,10.164.205.38,I.HTBP.2905,10.151.4.0 255.255.255.0
DTH1TBP,50,10.164.205.246,D.SDN2.2931,192.176.4.0 255.255.255.0
DTH1TBP,51,10.164.205.246,D.SDN2.2931,172.24.4.0 255.255.255.0
DTH1TBP,52,10.164.205.246,D.SDN2.2931,10.170.43.0 255.255.255.0
DTH1TBP,53,10.164.205.246,D.SDN2.2931,10.241.51.0 255.255.255.0
DTH1TBP,54,10.164.205.246,D.SDN2.2931,10.241.151.0 255.255.255.0
DTH1TBP,55,10.164.205.246,D.SDN2.2931,10.63.107.0 255.255.255.0
DTH1TBP,56,10.164.205.238,D.CCI.2930,10.193.46.0 255.255.255.0
DTH1TBP,57,10.164.205.238,D.CCI.2930,192.168.86.0 255.255.255.0
DTH1TBP,58,10.164.205.238,D.CCI.2930,192.168.90.0 255.255.255.0
DTH1TBP,59,10.164.205.238,D.CCI.2930,192.168.70.0 255.255.255.0
DTH1TBP,60,10.164.205.238,D.CCI.2930,192.168.234.0 255.255.255.0
DTH1TBP,61,10.164.205.238,D.CCI.2930,192.168.237.0 255.255.255.0
DTH1TBP,62,10.164.205.254,D.OTPC.2932,10.70.12.0 255.255.255.0
DTH1TBP,63,10.151.90.94,I.XHTBP.3112,10.2.150.0 255.255.255.0
DTH1TBP,64,10.164.205.246,D.SDN2.2931,10.204.130.0 255.255.255.0
DTH1TBP,65,10.164.205.246,D.SDN2.2931,10.204.131.0 255.255.255.0
DTH1TBP,66,10.164.205.246,D.SDN2.2931,10.18.113.0 255.255.255.0
DTH1TBP,67,10.164.205.246,D.SDN2.2931,10.216.111.0 255.255.255.0
DTH1TBP,68,10.164.205.254,D.OTPC.2932,10.70.14.0 255.255.255.0
DTH1TBP,69,10.164.205.254,D.OTPC.2932,10.1.125.0 255.255.255.0
DTH1TBP,70,10.164.205.254,D.OTPC.2932,10.63.91.0 255.255.255.0
DTH1TBP,71,10.164.205.254,D.OTPC.2932,10.63.92.0 255.255.255.0
DTH1TBP,72,10.164.205.254,D.OTPC.2932,10.1.90.0 255.255.255.0
DTH1TBP,73,10.164.205.254,D.OTPC.2932,10.2.90.0 255.255.255.0
DTH1MC2,1,10.164.201.142,M.OMC.3802,10.205.201.199 255.255.255.255
DTH1MC2,2,10.164.201.142,M.OMC.3802,10.0.8.0 255.255.255.0
DTH1MC2,3,10.164.201.142,M.OMC.3802,10.0.9.0 255.255.255.0
DTH1MC2,4,10.164.201.142,M.OMC.3802,10.0.10.0 255.255.255.0
DTH1MC2,5,10.164.201.142,M.OMC.3802,10.0.11.0 255.255.255.0
