vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,explicit-proxy
CP03OTPC,PORT_NEW_BMC,HKEX_USE,,2059 1828-1838 3181-3183 12124 9840-9842,,,,,
CP03OTPC,Port_BMC,HKEX_USE,,2059 1828-1838 3181-3183 12124 9840-9842 1533,,,,,
CP03OTPC,UDP/162,,,,162,,,,
CP03OTPC,PORT_from_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183 3381 3481 3581 3681 3781 3881 3891,,,,,
CP03OTPC,PORT_to_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183,,,,,
CP03OTPC,PORT_AD_TCP,HKEX_USE,,53 3268-3269 389 636 135 1024-65535 445 88 464 137-139,,,,,
CP03OTPC,PORT_AD_UDP,HKEX_USE,,,53 123 389 636 500 4500 1024-65535 137-138 88 464,,,,
CP03OTPC,TCP/137,HKEX_USE,,137,,,,,
CP03OTPC,TCP/443,HKEX_USE,,443,,,,,
CP03OTPC,PORT_STRATUS_VTM,HKEX_USE,,80 443 10123 2701 389 636 3268-3269 445 135 139,636 135 137-138,,,,
CP03OTPC,PORT_PATCH_MGT,HKEX_USE,,137-139 445 5120 443 3121,,,,,
CP03OTPC,PORT_HP_ILP,HKEX_USE,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,
CP03CASH2,ALL,General,IP,,,,,,
CP03CASH2,ALL_TCP,General,,1-65535,,,,,
CP03CASH2,ALL_UDP,General,,,1-65535,,,,
CP03CASH2,ALL_ICMP,General,ICMP,,,,,,
CP03CASH2,ALL_ICMP6,General,ICMP6,,,,,,
CP03CASH2,GRE,Tunneling,IP,,,47,,,
CP03CASH2,AH,Tunneling,IP,,,51,,,
CP03CASH2,ESP,Tunneling,IP,,,50,,,
CP03CASH2,AOL,,,5190-5194,,,disable,,
CP03CASH2,BGP,Network Services,,179,,,,,
CP03CASH2,DHCP,Network Services,,,67-68,,,,
CP03CASH2,DNS,Network Services,,53,53,,,,
CP03CASH2,FINGER,,,79,,,disable,,
CP03CASH2,FTP,File Access,,21,,,,,
CP03CASH2,FTP_GET,File Access,,21,,,,,
CP03CASH2,FTP_PUT,File Access,,21,,,,,
CP03CASH2,GOPHER,,,70,,,disable,,
CP03CASH2,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
CP03CASH2,HTTP,Web Access,,80,,,,,
CP03CASH2,HTTPS,Web Access,,443,,,,,
CP03CASH2,IKE,Tunneling,,,500 4500,,,,
CP03CASH2,IMAP,Email,,143,,,,,
CP03CASH2,IMAPS,Email,,993,,,,,
CP03CASH2,Internet-Locator-Service,,,389,,,disable,,
CP03CASH2,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
CP03CASH2,L2TP,Tunneling,,1701,1701,,,,
CP03CASH2,LDAP,Authentication,,389,,,,,
CP03CASH2,NetMeeting,,,1720,,,disable,,
CP03CASH2,NFS,File Access,,111 2049,111 2049,,,,
CP03CASH2,NNTP,,,119,,,disable,,
CP03CASH2,NTP,Network Services,,123,123,,,,
CP03CASH2,OSPF,Network Services,IP,,,89,,,
