vdom,name,uuid,subnet,visibility,type,associated-interface,start-ip,end-ip
DEH1HKATS1,net_10.152.54.0/24,8943fd12-933a-51ea-91e3-6b3e4212bb4f,10.152.54.0 255.255.255.0,,,,,
DEH1HKATS1,net_10.164.1.0/24,89529c78-933a-51ea-1a02-1aa1ba177deb,10.164.1.0 255.255.255.0,,,,,
DEH1HKATS1,net_10.164.129.0/24,895adb2c-933a-51ea-b067-bcbd428e0a09,10.164.129.0 255.255.255.0,,,,,
DEH1HKATS1,net_10.63.142.0/24,896475e2-933a-51ea-c560-c87f32c7b12a,10.63.142.0 255.255.255.0,,,,,
DEH1HKATS1,net_10.163.142.0/24,896d58c4-933a-51ea-34d4-91fba73000a1,10.163.142.0 255.255.255.0,,,,,
DEH1HKATS1,net_10.163.143.0/24,89777020-933a-51ea-9527-e85d287d6fc0,10.163.143.0 255.255.255.0,,,,,
DEH1HKATS1,net_10.245.127.0/24,89814c44-933a-51ea-39b2-8e2a9cee0bcd,10.245.127.0 255.255.255.0,,,,,
DEH1HKATS1,net_10.245.132.0/24,898a2aa8-933a-51ea-0f92-df25b71157a3,10.245.132.0 255.255.255.0,,,,,
DEH1HKATS1,net_10.249.127.0/24,89935c90-933a-51ea-ee91-a70c0aa56799,10.249.127.0 255.255.255.0,,,,,
DEH1HKATS1,net_10.249.132.0/24,899d836e-933a-51ea-e86e-8b3322887ca7,10.249.132.0 255.255.255.0,,,,,
DEH1HKATS1,range_10.244.64.68-70,89a74aca-933a-51ea-12c4-bccd8e5ee00f,,,iprange,,10.244.64.68,10.244.64.70
DEH1HKATS1,range_10.248.64.68-70,89b58d74-933a-51ea-b982-fcf759c3236d,,,iprange,,10.248.64.68,10.248.64.70
DEH1HKATS1,host_10.164.1.21,89c2f69e-933a-51ea-5e0c-277bc37d5ad5,10.164.1.21 255.255.255.255,,,,,
DEH1HKATS1,host_10.164.1.26,89cccea8-933a-51ea-071e-45f573ca0c66,10.164.1.26 255.255.255.255,,,,,
DEH1HKATS1,host_10.164.1.27,89d61daa-933a-51ea-b27c-e30291bc03b9,10.164.1.27 255.255.255.255,,,,,
DEH1HKATS1,host_10.164.130.26,89e10382-933a-51ea-f86a-c0a7cedffad3,10.164.130.26 255.255.255.255,,,,,
DEH1HKATS1,host_10.164.129.21,89e90758-933a-51ea-b97b-0914c350b0b6,10.164.129.21 255.255.255.255,,,,,
DEH1HKATS1,host_10.248.64.43,89f34132-933a-51ea-dbd6-c42864d18f1b,10.248.64.43 255.255.255.255,,,,,
DEH1HKATS1,host_10.244.130.6,89fcdf4e-933a-51ea-cd09-b886e195395a,10.244.130.6 255.255.255.255,,,,,
