vdom,id,name,uuid,srcintf,dstintf,srcaddr,dstaddr,action,schedule,service,utm-status,logtraffic,ips-sensor,nat,ippool,poolname,comments,status,capture-packet,auto-asic-offload
CT03CASH2,136,Tenable to Cash,36b57e3c-6718-51e7-87fa-70bfe982c8a0,E.UCN,I.CASH.Trust2,Host_192.168.150.109 Host_192.168.214.6 Host_192.168.214.7 Host_192.168.214.9,Net_10.1.88.0 Net_10.1.95.0,accept,always,TCP/22 TCP/139 TCP/445,enable,all,otpc-all,,,,IT-NCR-2018-[T]2170:1:2018_1201,,,
CT03CASH2,137,Tenable to TOF App,36db39c4-6718-51e7-947e-a96979538d04,E.UCN,I.TOFAPP,Host_192.168.214.7 Host_192.168.214.9,Net_10.70.13.0 Net_10.70.16.0,accept,always,TCP/22 TCP/139 TCP/445,enable,all,otpc-all,,,,IT-NCR-2018-[T]2170:1:2018_1201,,,
CT03CASH2,138,SAPP0051 to Cash SSH,36f6d300-6718-51e7-b1e0-984957b87cae,E.UCN,I.CASH.Trust2,Host_192.168.25.87,Range_10.1.88.84-85,accept,always,TCP/22,enable,all,otpc-all,,,,SAPP0051 to Cash,,,
CT03CASH2,139,TOF APP ORSYP to UCN SQL1,37185da4-6718-51e7-6aa9-ef9d0ebfd2d3,E.UCN,I.TOFAPP,Range_192.168.25.172-175,Net_10.70.12.0 Net_10.70.13.0,accept,always,PORT_ORSYP_Agents TCP/4184,enable,all,otpc-all,,,,,,,
CT03CASH2,140,TOF APP ORSYP to UCN SQL2,3737d33c-6718-51e7-7b7a-7d7eb5f8f005,I.TOFAPP,E.UCN,Net_10.70.12.0 Net_10.70.13.0,Range_192.168.25.172-175,accept,always,PORT_ORSYP_Agents TCP/4184,enable,all,otpc-all,,,,,,,
CT03CASH2,141,TBC2,3756594c-6718-51e7-1b9b-9ab67d1195df,E.UCN,I.TOFAPP,Host_192.168.150.223 Range_192.168.150.96-97 Range_192.168.190.249-251,Range_10.70.13.72-73,accept,always,UDP/137-138 SMB SAMBA,enable,all,otpc-all,,,,,,,
CT03CASH2,142,TBC3,377a4988-6718-51e7-83cf-c029b286e96f,E.UCN,I.TOFAPP,Net_192.168.143.0 Net_192.168.150.0 Net_192.168.166.0 Net_192.168.187.0 Net_192.168.188.0 Net_192.168.93.0,Net_10.70.13.0 Net_10.70.16.0,accept,always,TCP/3389,enable,all,otpc-all,,,,,,,
CT03CASH2,143,TBC4,37946d40-6718-51e7-200f-387c6c2facf6,I.CASH.Trust2,E.UCN,Net_10.1.88.0 Net_10.1.95.0,Host_192.168.214.6 Host_192.168.214.7 Host_192.168.150.109,accept,always,UDP/514-515 TCP/5985-5986,enable,all,otpc-all,,,,,,,
CT03CASH2,144,TBC5,37b2ed38-6718-51e7-9b00-a45ad9a448be,I.TOFAPP,E.UCN,Net_10.70.13.0 Net_10.70.16.0,Host_192.168.214.6 Host_192.168.214.7 Host_192.168.150.109,accept,always,UDP/514-515 TCP/5985-5986,enable,all,otpc-all,,,,,,,
CT03CASH2,145,TBC6,37d20f38-6718-51e7-940a-60ca565b2d8a,I.SATWEB,E.UCN,Net_10.70.15.0,Host_192.168.214.6 Host_192.168.214.7 Host_192.168.150.109,accept,always,UDP/514-515 TCP/5985-5986,enable,all,otpc-all,,,,,,,
CT03CASH2,146,TBC7,37f1cac6-6718-51e7-9988-db5f440c954a,E.OMDD4,E.UCN,Net_10.68.15.0,Host_192.168.214.6 Host_192.168.214.7 Host_192.168.150.109,accept,always,UDP/514-515 TCP/5985-5986,enable,all,otpc-all,,,,,,,
CT03CASH2,147,TBC8,381027b4-6718-51e7-edb9-6b1746f1cd2d,I.CASH.Trust2,E.UCN,Net_10.1.88.0 Net_10.1.95.0,Host_192.168.176.81 Host_192.168.176.121,accept,always,TCP/80,enable,all,otpc-all,,,,,,,
CT03CASH2,148,TBC9,382ef9aa-6718-51e7-770d-467ed292a919,I.TOFAPP,E.UCN,Net_10.70.13.0 Net_10.70.16.0,Host_192.168.176.81 Host_192.168.176.121,accept,always,TCP/80,enable,all,otpc-all,,,,,,,
CT03CASH2,149,TBC10,384e1b96-6718-51e7-1d1e-5a7e41eae602,I.SATWEB,E.UCN,Net_10.70.15.0,Host_192.168.176.81 Host_192.168.176.121,accept,always,TCP/80,enable,all,otpc-all,,,,,,,
CT03CASH2,150,TBC11,386d68ac-6718-51e7-2045-9c3d91601c60,E.OMDD4,E.UCN,Net_10.68.15.0,Host_192.168.176.81 Host_192.168.176.121,accept,always,TCP/80,enable,all,otpc-all,,,,,,,
CT03CASH2,154,TBC12,38e8fb7a-6718-51e7-a730-9b1fe0690877,I.CASH.Trust2,E.UCN,Net_10.1.88.0,Host_192.168.188.82 Host_192.168.150.109,accept,always,TCP/22,enable,all,otpc-all,,,,,,,
