vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,explicit-proxy,comment,fqdn
CT03OTPC,RDP,Remote Access,,3389,,,,,,,
CT03OTPC,VNC,Remote Access,,5900,,,,,,,
CT03OTPC,DHCP6,Network Services,,,546 547,,,,,,
CT03OTPC,SQUID,Tunneling,,3128,,,,,,,
CT03OTPC,SOCKS,Tunneling,,1080,1080,,,,,,
CT03OTPC,WINS,Remote Access,,1512,1512,,,,,,
CT03OTPC,RADIUS,Authentication,,,1812 1813,,,,,,
CT03OTPC,RADIUS-OLD,,,,1645 1646,,disable,,,,
CT03OTPC,CVSPSERVER,,,2401,2401,,disable,,,,
CT03OTPC,AFS3,File Access,,7000-7009,7000-7009,,,,,,
CT03OTPC,TRACEROUTE,Network Services,,,33434-33535,,,,,,
CT03OTPC,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,,,
CT03OTPC,MMS,,,1755,1024-5000,,disable,,,,
CT03OTPC,KERBEROS,Authentication,,88 464,88 464,,,,,,
CT03OTPC,LDAP_UDP,Authentication,,,389,,,,,,
CT03OTPC,SMB,File Access,,445,,,,,,,
CT03OTPC,NONE,,,0,,,disable,,,,
CT03OTPC,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable,,
CT03OTPC,UDP/161-162,HKEX_USE,,,161-162,,,,,,
CT03OTPC,Port_Networker,HKEX_USE,,111 514 2049 2051-2052 7937-9936,111 514 2049 2051-2052 7937-9936,,,,,,
CT03OTPC,Port_OneView,HKEX_USE,,443,161-162 2162,,,,,,
CT03OTPC,Port_BMC,HKEX_USE,,2059 1828-1838 3181-3183 12124 9840-9842 1533,,,,,,,
CT03OTPC,Port_WarRmAccess,HKEX_USE,,22 23 80 443 3389 17988 9300 17990 3002,,,,,,,
CT03OTPC,Port_NTP,HKEX_USE,,,123,,,,,,
CT03OTPC,TCP/4750,HKEX_USE,,4750,,,,,,,
CT03OTPC,TCP/22,HKEX_USE,,22,,,,,,,
CT03OTPC,TCP/80,HKEX_USE,,80,,,,,,,
CT03OTPC,TCP/3389,HKEX_USE,,3389,,,,,,,
CT03OTPC,TCP/5723,HKEX_USE,,5723,,,,,,,
CT03OTPC,TCP/8080,HKEX_USE,,8080,,,,,,,
CT03OTPC,TCP/11267,HKEX_USE,,11267,,,,,,,
CT03OTPC,TCP/1688,HKEX_USE,,1688,,,,,,,
CT03OTPC,PORT_AD_1,HKEX_USE,,53 389 636 135 1024-65535 445 139 88 464,,,,,,,
CT03OTPC,PORT_AD_2,HKEX_USE,,,53 123 389 636 500 1024-65535 137-138 88 464,,,,,,
CT03OTPC,PORT_TrendMicro,HKEX_USE,,80 137 139 443 445 8080 11267,,,,,,,
CT03OTPC,PORT_SCCM,HKEX_USE,,80 443 10123 2701 389 636 3268-3269 445 135 139,636 135 137 138,,,,,,
CT03OTPC,PORT_PatchMan,HKEX_USE,,137-139 445 5120 443 3121,,,,,,,
CT03OTPC,Port_HP_iLo,HKEX_USE,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,,,
CT03OTPC,TCP/38000-39000,HKEX_USE,,38000-39000,,,,,,,
CT03OTPC,TCP/30088,HKEX_USE,,30088,,,,,,,
CT03OTPC,TCP/1888-1889,HKEX_USE,,1888-1889,,,,,,,
CT03OTPC,ICMP/PING,HKEX_USE,ICMP,,,,,8,,,
CT03OTPC,TCP/514-515,HKEX_USE,,514-515,,,,,,,
CT03OTPC,UDP/514-515,HKEX_USE,,,514-515,,,,,,
CT03OTPC,PORT_ORSYP_Agents,HKEX_USE,,10600-10601 10605-10606 10611-10612 10620-10621 4184 10615,,,,,,,
CT03OTPC,TCP/139,HKEX_USE,,139,,,,,,,
CT03OTPC,TCP/445,HKEX_USE,,445,,,,,,,
CT03OTPC,TCP/5985-5986,HKEX_USE,,5985-5986,,,,,,,
CT03OTPC,TCP/38777,HKEX_USE,,38777,,,,,,,
CT03OTPC,PORT_Startus_VTM,HKEX_USE,,22 80 443 5120 5122,,,,,,,
CT03OTPC,TCP/8083,HKEX_USE,,8083,,,,,,,
CT03OTPC,PORT_CNMC_Networker,HKEX_USE,,111 514 2049 4001 2051-2052 7937-9936,111 514 2049 4001 2051-2052 7937-9936,,,,,,
CT03OTPC,PORT_NEW_BMC,HKEX_USE,,2059 1828-1838 3181-3183 12124 9840-9842,,,,,,,
CT03OTPC,UDP/162,,,,162,,,,,,
CT03OTPC,PORT_from_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183 3381 3481 3581 3681 3781 3881 3891,,,,,,,
CT03OTPC,PORT_to_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183,,,,,,,
CT03OTPC,PORT_AD_TCP,HKEX_USE,,53 3268-3269 389 636 135 1024-65535 445 88 464 137-139,,,,,,,
CT03OTPC,PORT_AD_UDP,HKEX_USE,,,53 123 389 636 500 4500 1024-65535 137-138 88 464,,,,,,
CT03OTPC,PORT_STRATUS_VTM,HKEX_USE,,80 443 10123 2701 389 636 3268-3269 445 135 139,636 135 137-138,,,,,,
CT03OTPC,PORT_PATCH_MGT,HKEX_USE,,137-139 445 5120 443 3121,,,,,,,
CT03OTPC,PORT_HP_ILP,HKEX_USE,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,,,
CT03OTPC,TCP/137,HKEX_USE,,137,,,,,,,
CT03OTPC,TCP/443,HKEX_USE,,443,,,,,,,
