vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,associated-interface,comment
CT03CASH2,Range_10.70.2.80-81,5a7ff88e-65a0-51e7-3b88-49c4b80b6a48,iprange,10.70.2.80,10.70.2.81,,,,I.TOFAPP,
CT03CASH2,Range_10.70.3.101-102,5a8077f0-65a0-51e7-a306-263e085cbe93,iprange,10.70.3.101,10.70.3.102,,,,I.TOFAPP,
CT03CASH2,Range_10.70.3.72-73,5a80f8e2-65a0-51e7-d178-8c75d08bd73a,iprange,10.70.3.72,10.70.3.73,,,,I.TOFAPP,
CT03CASH2,Range_10.70.4.101-102,5a81759c-65a0-51e7-df72-736329349404,iprange,10.70.4.101,10.70.4.102,,,,I.SATWEB,
CT03CASH2,Host_10.164.129.42,45e0c98e-65a1-51e7-4a21-cfab296a8cc2,,,,10.164.129.42 255.255.255.255,,,E.NMC,
CT03CASH2,Range_10.70.2.1-2,ac88d2fc-65a2-51e7-d7dd-605849cdbaec,iprange,10.70.2.1,10.70.2.2,,,,I.TOFAPP,
CT03CASH2,Range_10.70.5.101-102,c8d03f2c-65a2-51e7-ed84-91fc17fe6272,iprange,10.70.5.101,10.70.5.102,,,,I.SATWEB,
CT03CASH2,Range_10.70.14.61-63,d86025ce-65a2-51e7-7ccb-c8ea112fc129,iprange,10.70.14.61,10.70.14.63,,,,I.SATWEB,
CT03CASH2,Host_10.1.150.21_TOF1,ed983b3e-677d-51e7-9d91-0aadfadbdca9,,,,10.1.150.21 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.1.90.86,eda8e59c-677d-51e7-d46e-aed2de7f76cb,,,,10.1.90.86 255.255.255.255,,,I.CASH.Trust2,OMDC RTS server3
CT03CASH2,Host_10.163.143.219,edb98ed8-677d-51e7-022d-cc7b7ccaf9cd,,,,10.163.143.219 255.255.255.255,,,E.NMC,
CT03CASH2,Host_10.3.11.51,eddae286-677d-51e7-f079-6ce2822da084,,,,10.3.11.51 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.3.12.51,edeb885c-677d-51e7-6341-39af522d7a07,,,,10.3.12.51 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.3.19.51,edfc5e0c-677d-51e7-3db9-788f05347b8c,,,,10.3.19.51 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.3.21.51,ee0cdafc-677d-51e7-81e7-8fef3434bf21,,,,10.3.21.51 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.3.22.51,ee1dd3d4-677d-51e7-e12b-dbc6c461cc48,,,,10.3.22.51 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.3.29.51,ee2e7fc2-677d-51e7-ede0-37f0d2cd03df,,,,10.3.29.51 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.63.107.100,ee3f25b6-677d-51e7-009f-b61525277e88,,,,10.63.107.100 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.63.107.101,ee4fd190-677d-51e7-429c-b5144512ee74,,,,10.63.107.101 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.63.107.108,ee607c20-677d-51e7-7d66-65064578fedc,,,,10.63.107.108 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.63.91.11,ee7123b8-677d-51e7-2471-694ed3cc41f1,,,,10.63.91.11 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.65.69.1,ee81c9d4-677d-51e7-cb40-effece71e594,,,,10.65.69.1 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.65.69.2,ee9274b4-677d-51e7-9498-23b99a38dd4d,,,,10.65.69.2 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.65.85.1,eea31ddc-677d-51e7-951c-667d0989571d,,,,10.65.85.1 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.70.12.86,eeb3ec7a-677d-51e7-8627-d294a7fb5420,,,,10.70.12.86 255.255.255.255,,,I.TOFAPP,
CT03CASH2,Host_10.70.13.70,eec495de-677d-51e7-7eb6-c63f6e7963db,,,,10.70.13.70 255.255.255.255,,,I.TOFAPP,
CT03CASH2,Host_10.70.16.12,eed53e7a-677d-51e7-4d75-5538d79c62b3,,,,10.70.16.12 255.255.255.255,,,I.TOFAPP,
CT03CASH2,Host_10.70.3.61,eee5e98c-677d-51e7-b4d0-c91792764243,,,,10.70.3.61 255.255.255.255,,,I.TOFAPP,
CT03CASH2,Host_10.70.4.61,eef69192-677d-51e7-343e-defa7f090951,,,,10.70.4.61 255.255.255.255,,,I.SATWEB,
CT03CASH2,Host_10.70.6.12,ef073a38-677d-51e7-2c50-f4ffaee8cb20,,,,10.70.6.12 255.255.255.255,,,I.TOFAPP,
CT03CASH2,Host_159.220.180.3,ef17e590-677d-51e7-6d1a-baa16cdbdd9f,,,,159.220.180.3 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_192.168.143.82,ef2891e2-677d-51e7-a639-84e203f5cded,,,,192.168.143.82 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.143.84,ef393970-677d-51e7-16da-84928b3a3c8e,,,,192.168.143.84 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.150.227,ef49e40a-677d-51e7-5624-c281bed83982,,,,192.168.150.227 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.150.234,ef5ab1d6-677d-51e7-37f6-e275992e2917,,,,192.168.150.234 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.176.80,ef6b59dc-677d-51e7-7b86-7f51b37db738,,,,192.168.176.80 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.214.6,ef7c02d2-677d-51e7-d63d-d9db9c124446,,,,192.168.214.6 255.255.255.255,,,E.UCN,
CT03CASH2,Host_67.56.151.9,ef8cace0-677d-51e7-25c1-6d21899c03c6,,,,67.56.151.9 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_67.57.180.12,ef9d561c-677d-51e7-151d-ec00349c8323,,,,67.57.180.12 255.255.255.255,,,E.TOF1,
CT03CASH2,Net_10.1.121.0,efae0246-677d-51e7-c0ac-eb0f5097e04e,,,,10.1.121.0 255.255.255.0,,,E.TOF1,
CT03CASH2,Net_10.1.122.0,efbea7ea-677d-51e7-bd80-074dae0d1064,,,,10.1.122.0 255.255.255.0,,,E.TOF1,
CT03CASH2,Net_10.1.141.0,eff0a52e-677d-51e7-ae9a-8f013a3783d5,,,,10.1.141.0 255.255.255.0,,,I.TOFAPP,
CT03CASH2,Net_10.2.122.0,f0014be0-677d-51e7-d086-324bd8033442,,,,10.2.122.0 255.255.255.0,,,E.TOF1,
CT03CASH2,Net_10.2.90.0,f0261dd0-677d-51e7-c33c-47524593f7a3,,,,10.2.90.0 255.255.255.0,,,I.CASH.Trust2,
CT03CASH2,Net_10.2.93.0,f0334870-677d-51e7-ef09-f6b2fec6240c,,,,10.2.93.0 255.255.255.0,,,I.CASH.Trust2,
CT03CASH2,Net_10.4.51.136/29,f043f814-677d-51e7-a0a3-9410c82e5667,,,,10.4.51.136 255.255.255.248,,,E.TOF1,
CT03CASH2,Net_10.4.51.240/29,f054ae5c-677d-51e7-118a-e95b70eae465,,,,10.4.51.240 255.255.255.248,,,E.TOF1,
CT03CASH2,Net_10.63.107.0,f0654514-677d-51e7-93c4-16f319205c9b,,,,10.63.107.0 255.255.255.0,,,E.TOF1,
CT03CASH2,Net_10.63.134.0,f075eefa-677d-51e7-cac1-e01fb1f7043b,,,,10.63.134.0 255.255.255.0,,,E.TOF1,ESQ One IAN subnet
CT03CASH2,Net_10.63.136.0/22,f086e52a-677d-51e7-2fcf-9a68a3996e21,,,,10.63.136.0 255.255.252.0,,,E.TOF1,
CT03CASH2,Net_10.63.140.0,f0978d30-677d-51e7-fe6c-f75b843d7bf7,,,,10.63.140.0 255.255.255.0,,,E.TOF1,ESQ 6/F IAN Subnet 2
CT03CASH2,Net_10.65.25.0,f0a83644-677d-51e7-ee0e-884a479f5e1c,,,,10.65.25.0 255.255.255.0,,,E.TOF1,
CT03CASH2,Net_10.65.48.0,f0b8e098-677d-51e7-7464-c5bc18d03f57,,,,10.65.48.0 255.255.255.0,,,E.TOF1,
CT03CASH2,Net_10.70.14.0,f0c989de-677d-51e7-aaaf-8cebe375731e,,,,10.70.14.0 255.255.255.0,,,I.SATWEB,
CT03CASH2,Net_10.70.5.0,f0da3220-677d-51e7-d5aa-e4403ac4bab5,,,,10.70.5.0 255.255.255.0,,,I.TOFAPP,
CT03CASH2,Net_192.168.0.0/16,f0eadd96-677d-51e7-4b00-272d3501fcc3,,,,192.168.0.0 255.255.0.0,,,E.UCN,
CT03CASH2,Range_10.1.121.43-44,f0fb89fc-677d-51e7-948f-fe20780ce063,iprange,10.1.121.43,10.1.121.44,,,,E.TOF1,
CT03CASH2,Range_10.1.131.11-12,f134f570-677d-51e7-d0fe-b7815394ed07,iprange,10.1.131.11,10.1.131.12,,,,E.TOF1,
CT03CASH2,Range_10.1.141.10-30,f14801ec-677d-51e7-2364-aed8bf2cb282,iprange,10.1.141.10,10.1.141.30,,,,E.OCG,
CT03CASH2,Range_10.70.12.101-105,f15b08a0-677d-51e7-2ee1-ebb0dd6e3d93,iprange,10.70.12.101,10.70.12.105,,,,I.TOFAPP,
CT03CASH2,Range_10.70.12.30-32,f1782552-677d-51e7-a82b-0c80b93965e1,iprange,10.70.12.30,10.70.12.32,,,,I.TOFAPP,
CT03CASH2,Range_10.70.12.31-32,f18124f4-677d-51e7-1c41-ed2cc34bce09,iprange,10.70.12.31,10.70.12.32,,,,I.TOFAPP,
CT03CASH2,Range_10.70.12.82-83,f1942c5c-677d-51e7-677a-94aa449a557d,iprange,10.70.12.82,10.70.12.83,,,,I.TOFAPP,
CT03CASH2,Range_10.70.12.87-88,f1a7361c-677d-51e7-763f-8af200c97b8d,iprange,10.70.12.87,10.70.12.88,,,,I.TOFAPP,
CT03CASH2,Range_10.70.13.61-62,f1ba400e-677d-51e7-3e1b-7c2af64d1637,iprange,10.70.13.61,10.70.13.62,,,,I.TOFAPP,
CT03CASH2,Range_10.70.13.61-63,f1cd4e7e-677d-51e7-dee5-55f9ac4e073f,iprange,10.70.13.61,10.70.13.63,,,,I.TOFAPP,
CT03CASH2,Range_10.70.13.61-64,f1e051ea-677d-51e7-0e3b-bda313a183e4,iprange,10.70.13.61,10.70.13.64,,,,I.TOFAPP,
CT03CASH2,Range_10.70.13.63-64,f1f36744-677d-51e7-a4e0-99010c3d9bf3,iprange,10.70.13.63,10.70.13.64,,,,I.TOFAPP,
CT03CASH2,Range_10.70.13.71-73,f2066c68-677d-51e7-d3d0-e29c4937d4ac,iprange,10.70.13.71,10.70.13.73,,,,I.TOFAPP,
CT03CASH2,Range_10.70.15.51-52,f219752e-677d-51e7-cb63-a1c8ba2c90ca,iprange,10.70.15.51,10.70.15.52,,,,I.SATWEB,
CT03CASH2,Range_10.70.15.61-63,f22c7e6c-677d-51e7-9206-bbea147fe37c,iprange,10.70.15.61,10.70.15.63,,,,I.SATWEB,
CT03CASH2,Range_10.70.2.30-32,f23f88b8-677d-51e7-df3b-e29a2278dad5,iprange,10.70.2.30,10.70.2.32,,,,I.TOFAPP,
CT03CASH2,Range_10.70.2.30-34,f2529b60-677d-51e7-4054-2df20c4ba24b,iprange,10.70.2.30,10.70.2.34,,,,I.TOFAPP,
CT03CASH2,Range_10.70.2.31-32,f2659b66-677d-51e7-d934-4f390f2b0a33,iprange,10.70.2.31,10.70.2.32,,,,I.TOFAPP,
CT03CASH2,Range_10.70.2.72-73,f278ae0e-677d-51e7-a338-1aa85780e0a2,iprange,10.70.2.72,10.70.2.73,,,,I.TOFAPP,
CT03CASH2,Range_10.70.2.82-83,f28bb0d0-677d-51e7-f99c-252ee7f44e44,iprange,10.70.2.82,10.70.2.83,,,,I.TOFAPP,
CT03CASH2,Range_10.70.2.87-88,f29ebd38-677d-51e7-f9ac-a815b176d58e,iprange,10.70.2.87,10.70.2.88,,,,I.TOFAPP,
CT03CASH2,Range_10.70.3.63-64,f2ca7c7a-677d-51e7-2dee-178ae854a6d0,iprange,10.70.3.63,10.70.3.64,,,,I.TOFAPP,
CT03CASH2,Range_192.168.150.225-226,f2cb0a5a-677d-51e7-292c-32e77d0fada5,iprange,192.168.150.225,192.168.150.226,,,,E.UCN,
CT03CASH2,Range_192.168.150.229-230,f2d7e2fc-677d-51e7-a87c-34ee6cb2bec0,iprange,192.168.150.229,192.168.150.230,,,,E.UCN,
CT03CASH2,Range_206.60.222.98-99,f2eaec9e-677d-51e7-c0a9-34a4987b1754,iprange,206.60.222.98,206.60.222.99,,,,E.TOF1,
CT03CASH2,Range_75.124.44.80-81,f2fdf91a-677d-51e7-056b-197cd3c49419,iprange,75.124.44.80,75.124.44.81,,,,E.TOF1,
CT03CASH2,Net_10.2.95.0,198933a0-6865-51e7-612c-44d2b54b9c19,,,,10.2.95.0 255.255.255.0,,,I.CASH.Trust2,
CT03CASH2,Net_10.2.96.0,2322694a-6865-51e7-128d-de4ad92b3850,,,,10.2.96.0 255.255.255.0,,,I.CASH.Trust2,
CT03CASH2,Net_10.1.94.104_29,116848a4-6866-51e7-06c7-c55e39268b5c,,,,10.1.94.104 255.255.255.248,,,E.OCG,
CT03CASH2,Net_10.2.94.104_29,1ac2cd7a-6866-51e7-a8b4-31eff9993e9a,,,,10.2.94.104 255.255.255.248,,,E.OCG,
CT03CASH2,Range_10.1.131.21-22,3374f964-68a3-51e7-81a9-40e8b1790458,iprange,10.1.131.21,10.1.131.22,,,,E.TOF1,
CT03CASH2,Host_192.168.93.239,8c83d714-68a3-51e7-da4c-f39dfc8bb15c,,,,192.168.93.239 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.187.19,ac76cdb0-68a3-51e7-3ff4-b2bc2b6f72c0,,,,192.168.187.19 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.166.159,211b2d74-68b2-51e7-bd26-b901acfe5422,,,,192.168.166.159 255.255.255.255,,,E.UCN,
CT03CASH2,Range_192.168.150.131-132,212bd124-68b2-51e7-fdec-a60a007ca850,iprange,192.168.150.131,192.168.150.132,,,,E.UCN,
